1| 10 |10001| 10
2| 20 |10002| 10
3| 10 |10005| 10
4| 30 |10004| 15
5| 23 |20003| 33
6| 23 |10001| 
7| 23 |10004| 
8| 50 |10009| 
9| 33 |10012| 
10| 10 |20002| 
11| 20 |10005| 
12| 1 |900004| 
13| 1 |900003| 
14| 1 |900002| 
15| 1 |900001| 
16| 1 |900001| 
17| 1 |900002| 
18| 1 |900003| 
19| 10 |900004| 
20| 13 |10002| 
21| 2 |900003| 
22| 23 |10006| 
23| 13 |10012| 
24| 14 |50002| 
25| 12 |300004| 
26| 52 |300005| 
27| 12 |700002| 
28| 41 |10001| 
29| 25 |10005| 
30| 54 |10010| 
31| 346 |20002| 
32| 536 |20009| 
33| 23 |50002| 
34| 12 |300002| 
35| 51 |40001| 
36| 2 |900003| 
37| 42 |800004| 
38| 456 |300001| 
39| 42 |300001| 
40| 4 |900001| 
41| 145 |10003| 5
42| 200 |10009| 
43| 48 |40002| 
44| 500 |60001| 
45| 120 |60004| 
46| 145 |60004| 10
47| 27 |300006| 
48| 500 |800002| 
49| 12 |800004| 
50| 30 |50003| 
51| 200 |20001| 
52| 125 |20004| 
53| 124 |20010| 
54| 14 |20009| 
55| 147 |20007| 
56| 200 |20008| 
57| 1000 |20003| 
58| 100 |20011| 
59| 100 |20012| 
60| 100 |20013| 
61| 100 |20014| 
62| 100 |20015| 
63| 100 |20016| 
64| 100 |20017| 
65| 14 |20001| 
66| 44 |20011| 
67| 1 |10001| 
68| 44 |10012| 
69| 412 |20003| 
70| 123 |20013| 
71| 444 |20017| 
72| 42 |20015| 
73| 445 |20014| 
74| 142 |20013| 
75| 111 |10007| 
76| 87 |10091| 
77| 66 |10092| 
78| 47 |10093| 
79| 37 |10094| 
80| 85 |10095| 
81| 34 |10099| 
82| 265 |100006| 
