1|10001|999
2|10002|99
3|10004|99
4|10005|99
5|10008|999
6|10009|999
7|10010|999
8|10011|999
9|10012|999
10|10013|999
11|20001|99
12|20002|99
13|20003|99
14|20004|99
15|20005|53
16|700001|63
17|700002|27
18|700003|36
19|800002|73
20|800004|74
21|900001|84
22|900004|50
23|900003|20
24|900002|10
25|10013|77
26|10002|77
27|10010|34
28|10006|67
29|10003|55
30|20003|54
31|20007|34
32|50003|63
33|300006|85
34|40001|35
35|50002|75
36|300002|73
37|300004|23
38|300005|53
39|300007|26
40|10001|567
41|10002|666
42|10003|345
43|10004|255
44|10008|266
45|10009|235
46|10010|262
47|10011|356
48|20001|3456
49|20002|3466
50|20003|3463
51|20004|352
52|20005|253
53|20006|623
54|20007|346
55|20008|362
56|20009|634
57|20010|347
58|40001|64
59|40002|48
60|40003|6
61|300001|605
62|700001|780
63|700002|444
64|800002|666
65|800001|555
66|700004|500
67|60001|678
68|60004|900
69|20011|777
70|20012|777
71|20013|777
72|20014|777
73|20015|777
74|20016|777
75|20017|777
76|10007|190
77|10091|111
78|10092|111
79|10093|111
80|10094|111
81|10095|111
82|10099|111
83|100006|444
